"rotten_tomatoes_link","movie_title","original_release_date","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage","release_year","rating"
"m/not_another_teen_movie","Not Another Teen Movie",2001-12-14,"R","Rotten",29,99,"Spilled",55,442648,"Male",24,49,49,2001,"R"
"m/novocaine","Novocaine",2001-11-16,"R","Rotten",38,107,"Spilled",38,7450,"Male",11,15,73,2001,"R"
"m/o","O",2001-08-31,"R","Fresh",64,125,"Spilled",58,36087,"Male",10,13,77,2001,"R"
"m/oceans_eleven","Ocean's Eleven",2001-12-07,"PG-13","Certified-Fresh",82,177,"Upright",80,32601771,"Male",28,31,90,2001,"PG-13"
"m/1109473-on_the_edge","On the Edge",2001-08-10,"R","Fresh",67,9,"Upright",79,5042,"Male",5,7,71,2001,"R"
"m/1110294-on_the_line","On the Line",2001-10-26,"PG","Rotten",19,69,"Spilled",47,8344,"Male",11,21,52,2001,"PG"
"m/once_in_the_life","Once in the Life",2001-02-01,"R","Rotten",28,25,"Spilled",56,1196,"Male",9,12,75,2001,"R"
"m/original_sin","Original Sin",2001-08-03,"R","Rotten",12,91,"Upright",61,52886,"Male",16,20,80,2001,"R"
"m/osmosis_jones","Osmosis Jones",2001-08-10,"PG","Rotten",55,110,"Spilled",41,62693,"Male",27,33,82,2001,"PG"
"m/our_lady_of_the_assassins","Our Lady of the Assassins",2001-09-07,"R","Certified-Fresh",77,62,"Upright",68,1977,"Male",3,3,100,2001,"R"
"m/our_song","Our Song",2001-05-23,"R","Certified-Fresh",91,55,"Upright",81,1162,"Male",2,6,33,2001,"R"
"m/out_cold","Out Cold",2001-11-21,"PG-13","Rotten",8,49,"Upright",84,47249,"Male",14,18,78,2001,"PG-13"
"m/outside_the_law_2001","Outside the Law",2001-03-01,"R","Fresh",86,7,"Spilled",0,89,"Male",7,10,70,2001,"R"
"m/1108389-pearl_harbor","Pearl Harbor",2001-05-25,"PG-13","Rotten",24,194,"Upright",66,905477,"Male",69,77,90,2001,"PG-13"
"m/1112980-perfume","Perfume",2001-01-19,"R","Rotten",11,9,"Spilled",51,1489,"Male",16,30,53,2001,"R"
"m/pipe_dream","Pipe Dream",2001-01-01,"R","Fresh",72,18,"Spilled",31,899,"Male",7,14,50,2001,"R"
"m/1108704-planet_of_the_apes","Planet of the Apes",2001-07-27,"PG-13","Rotten",44,159,"Spilled",27,366849,"Male",25,37,68,2001,"PG-13"
"m/pokemon_3_the_movie","Pokémon 3: The Movie",2001-04-06,"G","Rotten",21,57,"Spilled",54,23157,"Male",1,3,33,2001,"G"
"m/pootie_tang","Pootie Tang",2001-06-29,"PG-13","Rotten",27,44,"Upright",63,30431,"Male",11,16,69,2001,"PG-13"
"m/rare_birds","Rare Birds",2001-09-09,"R","Rotten",54,13,"Upright",69,1354,"Male",1,5,20,2001,"R"
"m/rat_race","Rat Race",2001-08-17,"PG-13","Rotten",44,128,"Upright",64,403628,"Male",19,31,61,2001,"PG-13"
"m/recess_schools_out","Recess: School's Out",2001-02-16,"G","Fresh",60,70,"Spilled",56,9246,"Male",24,34,71,2001,"G"
"m/replicant","Replicant",2001-01-01,"R","Rotten",27,11,"Spilled",37,10000,"Male",15,21,71,2001,"R"
"m/riding_in_cars_with_boys","Riding in Cars With Boys",2001-10-19,"PG-13","Rotten",49,109,"Upright",66,95519,"Male",15,26,58,2001,"PG-13"
"m/rock_star","Rock Star",2001-09-07,"R","Rotten",53,129,"Spilled",59,61384,"Male",11,14,79,2001,"R"
"m/rush_hour_2","Rush Hour 2",2001-08-03,"PG-13","Rotten",52,127,"Upright",74,894051,"Male",15,20,75,2001,"PG-13"
"m/save_the_last_dance","Save the Last Dance",2001-01-12,"PG-13","Rotten",53,99,"Spilled",59,31845749,"Male",5,12,42,2001,"PG-13"
"m/saving_silverman","Saving Silverman",2001-02-07,"PG-13","Rotten",19,101,"Spilled",51,61949,"Male",13,19,68,2001,"PG-13"
"m/say_it_isnt_so","Say It Isn't So",2001-03-23,"R","Rotten",9,105,"Spilled",32,12147,"Male",24,35,69,2001,"R"
"m/scary_movie_2","Scary Movie 2",2001-07-04,"R","Rotten",15,109,"Spilled",52,682856,"Male",9,16,56,2001,"R"
"m/see_spot_run","See Spot Run",2001-03-02,"PG","Rotten",23,77,"Spilled",44,36825,"Male",6,7,86,2001,"PG"
"m/serendipity","Serendipity",2001-10-05,"PG-13","Rotten",58,138,"Upright",79,228215,"Male",12,19,63,2001,"PG-13"
"m/session_9","Session 9",2001-08-10,"R","Fresh",64,70,"Upright",63,24434,"Male",6,7,86,2001,"R"
"m/shallow_hal","Shallow Hal",2001-11-09,"PG-13","Rotten",50,129,"Spilled",45,621199,"Male",15,30,50,2001,"PG-13"
"m/1114912-shiner","Shiner",2001-07-13,"R","Rotten",46,13,"Spilled",29,188,"Male",15,20,75,2001,"R"
"m/shrek","Shrek",2001-05-18,"PG","Certified-Fresh",88,205,"Upright",90,1378744,"Male",13,16,81,2001,"PG"
"m/1110008-sidewalks_of_new_york","Sidewalks of New York",2001-11-21,"R","Rotten",56,94,"Spilled",54,5187,"Male",5,14,36,2001,"R"
"m/skeletons_in_the_closet","Skeletons in the Closet",2001-05-01,"R","Rotten",40,5,"Spilled",35,155,"Male",7,10,70,2001,"R"
"m/slap_shot_2_breaking_the_ice","Slap Shot 2: Breaking the Ice",2001-12-31,"R","Rotten",0,5,"Spilled",36,6625,"Male",16,17,94,2001,"R"
"m/snatch","Snatch",2001-01-19,"R","Fresh",73,142,"Upright",93,394511,"Male",22,22,100,2001,"R"
"m/1106020-someone_like_you","Someone Like You",2001-03-30,"PG-13","Rotten",42,118,"Spilled",56,41528,"Male",4,14,29,2001,"PG-13"
"m/songcatcher","Songcatcher",2001-06-29,"PG-13","Fresh",74,88,"Upright",78,2472,"Male",8,14,57,2001,"PG-13"
"m/under_the_sand","Sous le sable (Under the Sand)",2001-05-04,"R","Certified-Fresh",93,73,"Upright",83,4104,"Male",3,5,60,2001,"R"
"m/spy_game","Spy Game",2001-11-21,"R","Fresh",66,133,"Upright",75,114087,"Male",28,30,93,2001,"R"
"m/spy_kids","Spy Kids",2001-03-30,"PG","Certified-Fresh",93,128,"Spilled",46,427435,"Male",16,20,80,2001,"PG"
"m/sugar_and_spice","Sugar & Spice",2001-01-26,"PG-13","Rotten",28,75,"Spilled",42,54663,"Male",5,14,36,2001,"PG-13"
"m/summer_catch","Summer Catch",2001-08-24,"PG-13","Rotten",8,91,"Spilled",41,50041,"Male",14,17,82,2001,"PG-13"
"m/1104841-sweet_november","Sweet November",2001-02-16,"PG-13","Rotten",15,98,"Upright",76,94636,"Male",13,15,87,2001,"PG-13"
"m/swordfish","Swordfish",2001-06-08,"R","Rotten",25,138,"Spilled",59,244611,"Male",22,28,79,2001,"R"
"m/tape","Tape",2001-11-16,"R","Certified-Fresh",77,100,"Upright",76,8669,"Male",2,3,67,2001,"R"
"m/1111103-texas_rangers","Texas Rangers",2001-11-30,"PG-13","Rotten",2,51,"Spilled",29,7339,"Male",37,41,90,2001,"PG-13"
"m/accidental_spy","The Accidental Spy (Te wu mi cheng)",2001-01-18,"PG-13","Rotten",29,7,"Spilled",36,10891,"Male",2,2,100,2001,"PG-13"
"m/affair_of_the_necklace","The Affair of the Necklace",2001-11-30,"R","Rotten",15,62,"Spilled",42,3796,"Male",9,13,69,2001,"R"
"m/1108185-animal","The Animal",2001-06-01,"PG-13","Rotten",30,83,"Spilled",28,203619,"Male",16,20,80,2001,"PG-13"
"m/anniversary_party","The Anniversary Party",2001-06-08,"R","Fresh",61,112,"Spilled",58,6452,"Male",8,18,44,2001,"R"
"m/1105979-brothers","The Brothers",2001-03-23,"R","Fresh",63,67,"Upright",85,10183,"Male",6,16,38,2001,"R"
"m/business_of_strangers","The Business of Strangers",2001-12-07,"R","Certified-Fresh",81,94,"Spilled",51,3626,"Male",5,8,62,2001,"R"
"m/cats_meow","The Cat's Meow",2001-08-03,"PG-13","Certified-Fresh",75,126,"Spilled",51,7902,"Male",7,12,58,2001,"PG-13"
"m/center_of_the_world","The Center of the World",2001-04-18,"R","Rotten",34,82,"Spilled",41,2541,"Male",4,7,57,2001,"R"
"m/closet","The Closet (Le Placard)",2001-05-04,"R","Certified-Fresh",85,80,"Upright",78,8558,"Male",9,13,69,2001,"R"
"m/curse_of_the_jade_scorpion","The Curse of the Jade Scorpion",2001-08-24,"PG-13","Rotten",46,123,"Spilled",53,16535,"Male",17,24,71,2001,"PG-13"
"m/deep_end","The Deep End",2001-08-15,"R","Certified-Fresh",82,119,"Spilled",59,5684,"Male",6,9,67,2001,"R"
"m/devils_backbone","The Devil's Backbone (El Espinazo del diablo)",2001-11-21,"R","Certified-Fresh",92,119,"Upright",89,35114,"Male",4,6,67,2001,"R"
"m/dish","The Dish",2001-03-14,"PG-13","Certified-Fresh",96,99,"Upright",81,8533,"Male",14,16,88,2001,"PG-13"
"m/1108372-fast_and_the_furious","The Fast and the Furious",2001-06-22,"PG-13","Rotten",53,150,"Upright",74,1044116,"Male",14,17,82,2001,"PG-13"
"m/forsaken","The Forsaken",2001-04-27,"R","Rotten",7,54,"Spilled",41,10940,"Male",9,15,60,2001,"R"
"m/the_gatekeeper_2001","The Gatekeeper",2001-01-01,"R","Rotten",52,21,"Spilled",20,604,"Male",4,6,67,2001,"R"
"m/glass_house","The Glass House",2001-09-14,"PG-13","Rotten",21,86,"Spilled",39,58218,"Male",10,24,42,2001,"PG-13"
"m/happiness_of_the_katakuris","The Happiness of the Katakuris",2001-01-01,"R","Fresh",68,31,"Upright",82,8537,"Male",2,4,50,2001,"R"
"m/the_hunchback_of_notre_dame_ii","The Hunchback of Notre Dame II",2001-12-31,"G","Rotten",30,10,"Spilled",26,14626,"Male",5,8,62,2001,"G"
"m/invisible_circus","The Invisible Circus",2001-02-02,"R","Rotten",22,63,"Spilled",44,3697,"Male",3,8,38,2001,"R"
"m/the_jimmy_show","The Jimmy Show",2001-12-01,"R","Rotten",40,10,"Spilled",36,764,"Male",6,10,60,2001,"R"
"m/the_king_is_alive","The King Is Alive",2001-05-11,"R","Fresh",60,68,"Spilled",57,1093,"Male",7,11,64,2001,"R"
"m/last_castle","The Last Castle",2001-10-19,"R","Rotten",52,115,"Upright",74,45872,"Male",15,17,88,2001,"R"
"m/the_lord_of_the_rings_the_fellowship_of_the_ring","The Lord of the Rings: The Fellowship of the Ring",2001-12-19,"PG-13","Certified-Fresh",91,233,"Upright",95,1355751,"Male",27,31,87,2001,"PG-13"
"m/majestic","The Majestic",2001-12-21,"PG","Rotten",42,142,"Upright",60,58123,"Male",28,32,88,2001,"PG"
"m/man_who_wasnt_there","The Man Who Wasn't There",2001-10-31,"R","Certified-Fresh",81,159,"Upright",85,41250,"Male",22,27,81,2001,"R"
"m/mexican","The Mexican",2001-03-02,"R","Rotten",54,133,"Spilled",44,132325,"Male",21,24,88,2001,"R"
"m/mummy_returns","The Mummy Returns",2001-05-04,"PG-13","Rotten",47,140,"Upright",63,748468,"Male",10,12,83,2001,"PG-13"
"m/the_one","The One",2001-11-02,"PG-13","Rotten",14,86,"Spilled",51,100736,"Male",17,19,89,2001,"PG-13"
"m/the_other_side_of_heaven","The Other Side of Heaven",2001-12-14,"PG","Rotten",30,43,"Upright",74,10142,"Male",4,6,67,2001,"PG"
"m/1109257-others","The Others",2001-08-10,"PG-13","Certified-Fresh",83,165,"Upright",77,344417,"Male",6,11,55,2001,"PG-13"
"m/piano_teacher","The Piano Teacher (La Pianiste)",2001-09-01,"R","Fresh",73,89,"Upright",81,20129,"Male",2,5,40,2001,"R"
"m/1104203-pledge","The Pledge",2001-01-19,"R","Certified-Fresh",78,124,"Spilled",59,22080,"Male",11,19,58,2001,"R"
"m/princess_diaries","The Princess Diaries",2001-07-29,"G","Rotten",48,115,"Upright",68,757887,"Male",17,31,55,2001,"G"
"m/the-safety-of-objects","The Safety of Objects",2001-01-01,"R","Rotten",50,74,"Upright",65,4221,"Male",13,25,52,2001,"R"
"m/1108799-score","The Score",2001-07-13,"R","Certified-Fresh",73,128,"Upright",67,60119,"Male",11,12,92,2001,"R"
"m/shipping_news","The Shipping News",2001-12-25,"R","Rotten",55,132,"Upright",61,20726,"Male",14,20,70,2001,"R"
"m/the_substitute_4_failure_is_not_an_option","The Substitute 4: Failure Is Not an Option",2001-04-24,"R","Rotten",17,6,"Spilled",35,1855,"Male",8,9,89,2001,"R"
"m/tailor_of_panama","The Tailor of Panama",2001-03-30,"R","Certified-Fresh",77,116,"Spilled",46,12532,"Male",14,16,88,2001,"R"
"m/trumpet_of_the_swan","The Trumpet of the Swan",2001-05-11,"G","Rotten",14,42,"Spilled",36,3196,"Male",5,8,62,2001,"G"
"m/1110236-wash","The Wash",2001-10-01,"R","Rotten",8,50,"Upright",64,10797,"Male",11,14,79,2001,"R"
"m/wedding_planner","The Wedding Planner",2001-01-26,"PG-13","Rotten",17,105,"Spilled",59,483697,"Male",10,17,59,2001,"PG-13"
"m/weight_of_water","The Weight of Water",2001-07-06,"R","Rotten",35,65,"Spilled",39,4527,"Male",4,9,44,2001,"R"
"m/things_behind_the_sun","Things Behind the Sun",2001-01-19,"R","Fresh",100,12,"Upright",79,1069,"Male",7,14,50,2001,"R"
"m/thirteen_conversations_about_one_thing","Thirteen Conversations About One Thing",2001-09-01,"R","Certified-Fresh",83,115,"Upright",71,8335,"Male",15,21,71,2001,"R"
"m/thirteen_ghosts","Thirteen Ghosts (13 Ghosts)",2001-10-23,"R","Rotten",16,94,"Spilled",49,262705,"Male",15,22,68,2001,"R"
"m/1108520-1108520-time_and_tide","Time and Tide (Shun liu Ni liu)",2001-05-11,"R","Fresh",64,44,"Upright",74,4352,"Male",3,3,100,2001,"R"
"m/together_2001","Together",2001-08-24,"R","Certified-Fresh",90,81,"Upright",89,7756,"Male",4,6,67,2001,"R"
"m/tomcats","Tomcats",2001-03-30,"R","Rotten",14,76,"Spilled",42,22960,"Male",12,20,60,2001,"R"
"m/tortilla_soup","Tortilla Soup",2001-08-24,"PG-13","Certified-Fresh",74,72,"Upright",71,5188,"Male",5,10,50,2001,"PG-13"
"m/training_day","Training Day",2001-10-05,"R","Fresh",73,160,"Upright",89,300918,"Male",13,17,76,2001,"R"
"m/tremors_3_back_to_perfection","Tremors 3 - Back to Perfection",2001-10-02,"PG","Fresh",67,6,"Spilled",34,44417,"Male",7,12,58,2001,"PG"
"m/two_can_play_that_game","Two Can Play That Game",2001-09-07,"R","Rotten",41,63,"Upright",83,34133,"Male",14,22,64,2001,"R"
"m/va_savoir","Va Savoir",2001-09-29,"PG-13","Certified-Fresh",86,78,"Upright",68,1296,"Male",4,8,50,2001,"PG-13"
"m/valentine","Valentine",2001-02-02,"R","Rotten",12,76,"Spilled",33,56375,"Male",14,22,64,2001,"R"
"m/vanilla_sky","Vanilla Sky",2001-12-14,"R","Rotten",42,170,"Upright",72,298065,"Male",16,25,64,2001,"R"
"m/waking_life","Waking Life",2001-01-19,"R","Certified-Fresh",81,145,"Upright",87,61440,"Male",12,16,75,2001,"R"
"m/wasabi","Wasabi",2001-09-27,"R","Rotten",43,42,"Upright",69,12614,"Male",5,9,56,2001,"R"
"m/wet_hot_american_summer","Wet Hot American Summer",2001-07-27,"R","Rotten",38,76,"Upright",76,39653,"Male",16,24,67,2001,"R"
"m/what_women_want","What Women Want",2001-05-01,"PG-13","Rotten",54,122,"Spilled",54,629113,"Male",8,63,13,2001,"PG-13"
"m/whats_the_worst_that_could_happen","What's the Worst That Could Happen?",2001-06-01,"PG-13","Rotten",10,98,"Spilled",35,17017,"Male",13,19,68,2001,"PG-13"
"m/with_a_friend_like_harry","With a Friend like Harry...",2001-05-04,"R","Certified-Fresh",96,93,"Upright",79,4513,"Male",3,6,50,2001,"R"
"m/xchange","Xchange",2001-03-01,"R","Rotten",0,5,"Spilled",30,1505,"Male",10,15,67,2001,"R"
"m/y_tu_mama_tambien","Y Tu Mama Tambien",2001-04-01,"R","Certified-Fresh",92,138,"Upright",88,69801,"Male",5,8,62,2001,"R"
"m/zoolander","Zoolander",2001-09-28,"PG-13","Fresh",64,138,"Upright",80,944800,"Male",38,54,70,2001,"PG-13"
"m/100_girls","100 Girls",2000-09-01,"R","Fresh",60,5,"Spilled",50,39832,"Male",5,19,26,2000,"R"
"m/102_dalmatians","102 Dalmatians",2000-11-22,"G","Rotten",31,90,"Spilled",32,406533,"Male",12,16,75,2000,"G"
"m/28_days","28 Days",2000-02-08,"PG-13","Rotten",33,85,"Spilled",50,319745,"Male",13,30,43,2000,"PG-13"
"m/a-rumor-of-angels","A Rumor of Angels",2000-08-01,"PG-13","Rotten",34,29,"Upright",76,1313,"Male",4,6,67,2000,"PG-13"
"m/about_adam","About Adam",2000-01-28,"R","Fresh",68,57,"Spilled",47,9434,"Male",4,9,44,2000,"R"
"m/all_the_pretty_horses","All the Pretty Horses",2000-12-25,"PG-13","Rotten",32,100,"Spilled",42,11934,"Male",10,13,77,2000,"PG-13"
"m/almost_famous","Almost Famous",2000-09-15,"R","Certified-Fresh",89,169,"Upright",92,325052,"Male",28,40,70,2000,"R"
"m/american_psycho","American Psycho",2000-04-14,"R","Fresh",69,150,"Upright",85,304536,"Male",8,15,53,2000,"R"
"m/1099153-american_virgin","American Virgin",2000-02-11,"R","Rotten",29,7,"Spilled",9,1199,"Male",15,28,54,2000,"R"
"m/anatomie","Anatomie",2000-01-01,"R","Rotten",58,12,"Spilled",47,6089,"Male",5,7,71,2000,"R"
"m/animal_factory","Animal Factory",2000-10-20,"R","Fresh",83,35,"Spilled",58,9395,"Male",16,16,100,2000,"R"
"m/1093611-anna_and_the_king","Anna and the King",2000-06-01,"PG-13","Rotten",51,101,"Upright",64,75162,"Male",11,17,65,2000,"PG-13"
"m/anywhere_but_here","Anywhere but Here",2000-06-01,"PG-13","Fresh",64,89,"Spilled",55,39737,"Male",13,27,48,2000,"PG-13"
"m/autumn_in_new_york","Autumn in New York",2000-08-11,"PG-13","Rotten",19,72,"Spilled",54,33526,"Male",7,19,37,2000,"PG-13"
"m/1099763-backstage","Backstage",2000-01-01,"R","Rotten",31,13,"Upright",78,276,"Male",13,13,100,2000,"R"
"m/1100039-bait","Bait",2000-09-15,"R","Rotten",26,82,"Spilled",40,11934,"Male",25,28,89,2000,"R"
"m/batman_beyond_return_of_the_joker","Batman Beyond: Return of the Joker",2000-12-12,"PG-13","Fresh",91,11,"Upright",86,56656,"Male",6,11,55,2000,"PG-13"
"m/battlefield_earth","Battlefield Earth",2000-05-12,"PG-13","Rotten",3,152,"Spilled",12,54014,"Male",13,16,81,2000,"PG-13"
"m/1116455-beat","Beat",2000-01-01,"R","Rotten",57,7,"Spilled",37,1141,"Male",7,9,78,2000,"R"
"m/1100122-beautiful","Beautiful",2000-09-29,"PG-13","Rotten",16,64,"Spilled",55,10424,"Male",10,30,33,2000,"PG-13"
"m/beautiful_people","Beautiful People",2000-02-18,"R","Fresh",80,25,"Upright",86,806,"Male",9,15,60,2000,"R"
"m/beethovens_3rd","Beethoven's 3rd",2000-07-25,"G","Rotten",0,7,"Spilled",24,75426,"Male",8,9,89,2000,"G"
"m/best_in_show","Best in Show",2000-09-29,"PG-13","Certified-Fresh",94,114,"Upright",89,56472,"Male",24,36,67,2000,"PG-13"
"m/big_mommas_house","Big Momma's House",2000-06-02,"PG-13","Rotten",30,81,"Spilled",57,475722,"Male",11,16,69,2000,"PG-13"
"m/billy_elliot","Billy Elliot",2000-11-03,"R","Certified-Fresh",85,118,"Upright",89,280591,"Male",9,15,60,2000,"R"
"m/bless_the_child","Bless the Child",2000-08-11,"R","Rotten",3,111,"Spilled",43,35259,"Male",21,33,64,2000,"R"
"m/1095081-boiler_room","Boiler Room",2000-02-18,"R","Fresh",66,101,"Upright",78,46926,"Male",19,21,90,2000,"R"
"m/book_of_shadows_blair_witch_2","Book of Shadows - Blair Witch 2",2000-10-27,"R","Rotten",14,108,"Spilled",18,58176,"Male",7,10,70,2000,"R"
"m/bootmen","Bootmen",2000-10-06,"R","Rotten",35,17,"Upright",68,8159,"Male",5,8,62,2000,"R"
"m/boricuas_bond","Boricua's Bond",2000-06-21,"R","Rotten",11,9,"Spilled",48,451,"Male",5,5,100,2000,"R"
"m/bounce","Bounce",2000-11-17,"PG-13","Rotten",52,107,"Spilled",32,21838,"Male",17,23,74,2000,"PG-13"
"m/boys_and_girls","Boys and Girls",2000-06-16,"PG-13","Rotten",11,62,"Spilled",50,28217,"Male",8,40,20,2000,"PG-13"
"m/bring_it_on","Bring It On",2000-08-25,"PG-13","Fresh",63,120,"Upright",66,767667,"Male",8,36,22,2000,"PG-13"
"m/bruiser","Bruiser",2000-01-01,"R","Fresh",67,9,"Spilled",30,3935,"Male",7,9,78,2000,"R"
"m/bruno_2000","Bruno",2000-04-16,"PG-13","Rotten",20,5,"Upright",68,1190,"Male",2,8,25,2000,"PG-13"
"m/but_im_a_cheerleader","But I'm a Cheerleader",2000-06-23,"R","Rotten",40,85,"Upright",74,40926,"Male",10,19,53,2000,"R"
"m/cast_away","Cast Away",2000-12-22,"PG-13","Certified-Fresh",88,156,"Upright",84,743965,"Male",14,25,56,2000,"PG-13"
"m/cecil_b_demented","Cecil B. Demented",2000-08-11,"R","Rotten",53,81,"Upright",67,9636,"Male",16,25,64,2000,"R"
"m/center_stage","Center Stage",2000-05-12,"PG-13","Rotten",42,81,"Upright",82,104272,"Male",6,16,38,2000,"PG-13"
"m/charlies_angels","Charlie's Angels",2000-11-03,"PG-13","Fresh",68,146,"Spilled",45,729182,"Male",25,30,83,2000,"PG-13"
"m/chicken_run","Chicken Run",2000-06-21,"G","Certified-Fresh",97,171,"Upright",64,548739,"Male",9,15,60,2000,"G"
"m/chocolat","Chocolat",2000-12-15,"PG-13","Fresh",62,117,"Upright",83,328939,"Male",6,12,50,2000,"PG-13"
"m/chuck_and_buck","Chuck & Buck",2000-07-14,"R","Certified-Fresh",84,88,"Upright",66,4303,"Male",2,5,40,2000,"R"
"m/1100318-circus","Circus",2000-09-15,"R","Rotten",9,11,"Spilled",47,1404,"Male",10,13,77,2000,"R"
"m/toxic_avenger_iv_citizen_toxie","Citizen Toxie: The Toxic Avenger IV",2000-01-01,"R","Fresh",70,10,"Upright",65,7276,"Male",4,6,67,2000,"R"
"m/come_undone_2000","Come Undone",2000-02-08,"R","Fresh",77,31,"Upright",67,2690,"Male",2,4,50,2000,"R"
"m/1096844-committed","Committed",2000-04-28,"R","Rotten",43,46,"Spilled",35,3893,"Male",7,13,54,2000,"R"
"m/coyote_ugly","Coyote Ugly",2000-08-04,"PG-13","Rotten",23,103,"Upright",71,698936,"Male",21,34,62,2000,"PG-13"
"m/crime_and_punishment_in_suburbia","Crime & Punishment in Suburbia",2000-01-24,"R","Rotten",21,29,"Spilled",58,3032,"Male",10,16,62,2000,"R"
"m/cruel_intentions_2","Cruel Intentions 2",2000-11-01,"R","Rotten",17,12,"Spilled",21,48791,"Male",9,14,64,2000,"R"
"m/cut","Cut",2000-01-01,"R","Rotten",11,9,"Spilled",25,2716,"Male",6,8,75,2000,"R"
"m/dancer_in_the_dark","Dancer in the Dark",2000-09-23,"R","Fresh",69,121,"Upright",91,57763,"Male",10,14,71,2000,"R"
"m/dancing_at_the_blue_iguana","Dancing at the Blue Iguana",2000-09-01,"R","Rotten",23,22,"Spilled",42,2747,"Male",18,27,67,2000,"R"
"m/deterrence","Deterrence",2000-03-10,"R","Rotten",46,39,"Spilled",59,1042,"Male",8,12,67,2000,"R"
"m/1097046-dinosaur","Dinosaur",2000-05-19,"PG","Fresh",64,123,"Spilled",48,71245,"Male",4,9,44,2000,"PG"
"m/disappearing_acts","Disappearing Acts",2000-12-09,"R","Fresh",60,5,"Upright",85,4857,"Male",5,9,56,2000,"R"
"m/down_to_you","Down to You",2000-01-21,"PG-13","Rotten",3,59,"Spilled",49,51511,"Male",8,21,38,2000,"PG-13"
"m/how_the_grinch_stole_christmas","Dr. Seuss' How the Grinch Stole Christmas",2000-11-17,"PG","Rotten",49,142,"Spilled",56,949077,"Male",18,32,56,2000,"PG"
"m/dr_t_and_the_women","Dr. T and the Women",2000-10-13,"R","Rotten",57,109,"Spilled",20,15181,"Male",4,25,16,2000,"R"
"m/dracula_2000","Dracula 2000",2000-12-22,"R","Rotten",17,69,"Spilled",39,69959,"Male",15,19,79,2000,"R"
"m/dragonheart_a_new_beginning","Dragonheart - A New Beginning",2000-08-08,"PG","Rotten",40,5,"Spilled",35,37588,"Male",5,5,100,2000,"PG"
"m/drowning_mona","Drowning Mona",2000-03-03,"PG-13","Rotten",29,76,"Spilled",46,15277,"Male",13,18,72,2000,"PG-13"
"m/dude_wheres_my_car","Dude, Where's My Car?",2000-12-15,"PG-13","Rotten",17,58,"Spilled",47,367439,"Male",13,22,59,2000,"PG-13"
"m/1100086-duets","Duets",2000-09-15,"R","Rotten",21,92,"Spilled",48,10599,"Male",19,31,61,2000,"R"
"m/dungeons_and_dragons","Dungeons & Dragons",2000-12-08,"PG-13","Rotten",10,92,"Spilled",19,47658,"Male",9,12,75,2000,"PG-13"
"m/eastwest","East/West",2000-04-07,"PG-13","Fresh",65,31,"Upright",88,2516,"Male",7,10,70,2000,"PG-13"
"m/erin_brockovich","Erin Brockovich",2000-03-17,"R","Certified-Fresh",84,146,"Upright",81,418647,"Male",15,27,56,2000,"R"
"m/escaflowne_the_movie","Escaflowne: The Movie",2000-06-30,"PG-13","Rotten",43,14,"Upright",69,11545,"Male",8,11,73,2000,"PG-13"
"m/escanaba_in_da_moonlight","Escanaba in da Moonlight",2000-10-22,"PG-13","Rotten",50,6,"Upright",79,4827,"Male",2,2,100,2000,"PG-13"
"m/essex_boys","Essex Boys",2000-07-14,"R","Rotten",17,6,"Upright",62,4893,"Male",9,13,69,2000,"R"
"m/1094646-eye_of_the_beholder","Eye of the Beholder",2000-01-28,"R","Rotten",9,87,"Spilled",32,10485,"Male",14,24,58,2000,"R"
"m/fantasia_2000","Fantasia 2000",2000-06-16,"G","Certified-Fresh",81,85,"Upright",75,62529,"Male",5,6,83,2000,"G"
"m/final_destination","Final Destination",2000-03-17,"R","Rotten",35,95,"Upright",68,483542,"Male",13,20,65,2000,"R"
"m/finding_forrester","Finding Forrester",2000-12-20,"PG-13","Certified-Fresh",74,127,"Upright",79,82018,"Male",10,13,77,2000,"PG-13"
"m/frequency","Frequency",2000-04-28,"PG-13","Certified-Fresh",70,125,"Upright",81,135884,"Male",16,24,67,2000,"PG-13"
"m/from_dusk_till_dawn_3_the_hangmans_daughter","From Dusk Till Dawn 3: The Hangman's Daughter",2000-01-18,"R","Rotten",22,9,"Spilled",23,14479,"Male",8,11,73,2000,"R"
"m/fun_in_acapulco","Fun in Acapulco",2000-06-01,"PG","Rotten",57,7,"Spilled",51,7013,"Male",10,15,67,2000,"PG"
"m/gangster-no-1","Gangster No. 1",2000-01-01,"R","Fresh",71,52,"Upright",77,8849,"Male",15,17,88,2000,"R"
"m/1100569-get_carter","Get Carter",2000-10-06,"R","Rotten",11,61,"Spilled",28,29879,"Male",9,12,75,2000,"R"
"m/ghost_dog_the_way_of_the_samurai","Ghost Dog - The Way of the Samurai",2000-03-03,"R","Certified-Fresh",82,96,"Upright",86,47027,"Male",14,16,88,2000,"R"
"m/girlfight","Girlfight",2000-09-29,"R","Certified-Fresh",88,96,"Upright",75,11864,"Male",7,9,78,2000,"R"
"m/gladiator","Gladiator",2000-05-05,"R","Certified-Fresh",77,199,"Upright",87,34128168,"Male",20,22,91,2000,"R"
"m/godzilla_2000","Godzilla 2000",2000-08-18,"PG","Rotten",57,69,"Spilled",54,11763,"Male",15,19,79,2000,"PG"
